dataset	domain	experiment name	included	appendix	data	task	label classes	task type	languages	comment
Düpont & Rachuj (2022)	party manifestos	dupont_and_rachuj_2022_topic	yes	no	CMP major policy domain categories	classify the policy topic discussed in quasi-sentence	extrel, freedem, polsys, econ, welqual, fabsoc, socgrp 	single-label classification	da, de, es, fi, fr, it, nl, sv	
Düpont & Rachuj (2022)	party manifestos	dupont_and_rachuj_2022_rile	yes	no	CMP left–right position indicators	classify the stance expressed in quasi-sentence	left, right, none	multiclass single-label classification	da, de, es, fi, fr, it, nl, sv	
Düpont & Rachuj (2022)	party manifestos	dupont_and_rachuj_2022_rile_binary	yes	no	CMP left–right position indicators	classify the stance expressed in quasi-sentence (binary)	left, right	multiclass single-label classification	da, de, es, fi, fr, it, nl, sv	
Düpont & Rachuj (2022)	party manifestos	dupont_and_rachuj_2022_econ_position_binary	yes	no	CMP left–right position indicators in domain category "Economy"	classify the stance expressed in quasi-sentences about economic issues (binary)	left, right	binary single-label classification	da, de, es, fi, fr, it, nl, sv	
Düpont & Rachuj (2022)	party manifestos	dupont_and_rachuj_2022_freedem_position_binary	yes	no	CMP left–right position indicators in damain category "Freedom & Democracy"	classify the stance expressed in quasi-sentences about the issue of freedom and democracy (binary)	left, right	binary single-label classification	da, de, es, fi, fr, it, nl, sv	
Lehmann & Zobel (2018)	party manifestos	lehmann+zobel_2018_pimpo_issue	yes	no	PimPo issue categories	classify the issue focus of quasi-sentences	immigration, integration	binary single-label classification	da, de, en, es, fi, fr, nl, sv	
Lehmann & Zobel (2018)	party manifestos	lehmann+zobel_2018_pimpo_position	yes	no	PimPo position indicator	classify the stance expressed in quasi-sentences about the issues of immigration and integration (binary)	position: sceptical, supportive	binary single-label classification	da, de, en, es, fi, fr, nl, sv	
Poljak (2023)	parl. speech	poljak_2022_attack_binary	yes	no	dichotomized attack count indicator	detect whether a speech contains one or more attacks of parliamentary actors 	attack: yes, no	binary single-label classification	en, fr, nl	
Poljak (2023)	parl. speech	poljak_2022_attack_type	yes	no	attack type indicators	classify the type of attack	attack type: policy, trait, both	binary single-label classification	en, fr, nl	
Poljak (2023)	parl. speech	poljak_2022_incivility	yes	no	incivility indicator	detect uncivil attacks	uncivil: yes, no	binary single-label classification	en, fr, nl	
Poljak (2023)	parl. speech	poljak_2022_attack_binary_w_croatia	yes	yes	dichotomized attack count indicator	detect whether a speech contains one or more attacks of parliamentary actors 	attack: yes, no	binary single-label classification	bs, en, fr, hr, nl	no translations from OPUS-MT and DeepL
Poljak (2023)	parl. speech	poljak_2022_attack_type_w_croatia	yes	yes	attack type indicators	classify the type of attack	attack type: policy, trait, policy+trait	binary single-label classification	bs, en, fr, hr, nl	no translations from OPUS-MT and DeepL
Poljak (2023)	parl. speech	poljak_2022_incivility_w_croatia	yes	yes	incivility indicator	detect uncivil attacks	uncivil: yes, no	binary single-label classification	bs, en, fr, hr, nl	no translations from OPUS-MT and DeepL
Theocharis et al. (2016)	social media	theocharis_et_al_2016_sentiment_w_greek	yes	yes	sentiment categories	classify the sentiment of tweets	positive, neutral, negative	multiclass single-label classification	de, en, es 	
Theocharis et al. (2016)	social media	theocharis_et_al_2016_sentiment_binary_w_greek	yes	yes	sentiment categories	classify the sentiment of tweets (binary)	positive, negative	binary single-label classification	de, en, es 	
Theocharis et al. (2016)	social media	theocharis_et_al_2016_communication_w_greek	yes	yes	type of communication indicator	classify the type of communication in tweets	broadcasting, engaging	binary single-label classification	de, en, es 	
Theocharis et al. (2016)	social media	theocharis_et_al_2016_polite_w_greek	yes	yes	politeness indicator	detect impolite tweets	politeness: polite, impolite	binary single-label classification	de, en, es 	
Theocharis et al. (2016)	social media	theocharis_et_al_2016_political_w_greek	yes	yes	tweet focus indicator	detect political tweets	political: yes, no	binary single-label classification	de, en, es 	
Theocharis et al. (2016)	social media	theocharis_et_al_2016_sentiment	yes	no	sentiment categories	classify the sentiment of tweets	positive, neutral, negative	multiclass single-label classification	de, el, en, es 	no translations from OPUS-MT
Theocharis et al. (2016)	social media	theocharis_et_al_2016_sentiment_binary	yes	no	sentiment categories	classify the sentiment of tweets (binary)	positive, negative	binary single-label classification	de, el, en, es 	no translations from OPUS-MT
Theocharis et al. (2016)	social media	theocharis_et_al_2016_communication	yes	no	type of communication indicator	classify the type of communication in tweets	broadcasting, engaging	binary single-label classification	de, el, en, es 	no translations from OPUS-MT
Theocharis et al. (2016)	social media	theocharis_et_al_2016_polite	yes	no	politeness indicator	detect impolite tweets	polite, impolite	binary single-label classification	de, el, en, es 	no translations from OPUS-MT
Theocharis et al. (2016)	social media	theocharis_et_al_2016_political	yes	no	tweet focus indicator	detect political tweets	political: yes, no	binary single-label classification	de, el, en, es 	no translations from OPUS-MT
Theocharis et al. (2016)	social media		no		detect the level(s) of topics discussed in MEP tweets		eu, national, subnational	multi-label classification	de,es,en,el	
Theocharis et al. (2016)	social media		no		detect the issues(s) mentioned in MEP tweets		campaign, counterendorsement, economic, endorsement, epelec, eudim, external, immigration, mobilization, morality, social, system	multi-label classification	de,es,en,el	
Ivanusch & Regel (2024)	party manifestos	cmp_translations_sample_topic	yes	no	CMP major policy domain categories	classify the policy topic discussed in quasi-sentence	extrel, freedem, polsys, econ, welqual, fabsoc, socgrp 	single-label classification	bg, cs, da, de, el, es, et, fi, fr, hu, it, lt, nl, no, pl, pt, ro, ru, sk, sl, sv, tr, uk	no translations from OPUS-MT
Ivanusch & Regel (2024)	party manifestos	cmp_translations_sample_rile	yes	no	CMP left–right position indicators	classify the stance expressed in quasi-sentence	left, right, none	multiclass single-label classification	bg, cs, da, de, el, es, et, fi, fr, hu, it, lt, nl, no, pl, pt, ro, ru, sk, sl, sv, tr, uk	no translations from OPUS-MT
Ivanusch & Regel (2024)	party manifestos	cmp_translations_sample_rile_binary	yes	no	CMP left–right position indicators	classify the stance expressed in quasi-sentence (binary)	left, right	multiclass single-label classification	bg, cs, da, de, el, es, et, fi, fr, hu, it, lt, nl, no, pl, pt, ro, ru, sk, sl, sv, tr, uk	no translations from OPUS-MT
Ivanusch & Regel (2024)	party manifestos	cmp_translations_sample_econ_position_binary	yes	no	CMP left–right position indicators in domain category "Economy"	classify the stance expressed in quasi-sentences about economic issues (binary)	left, right	binary single-label classification	bg, cs, da, de, el, es, et, fi, fr, hu, it, lt, nl, no, pl, pt, ro, ru, sk, sl, sv, tr, uk	no translations from OPUS-MT
